x,y,z,geometric_likelihood
0.269932,0.383507,0.173375,0.379967
0.060028,-0.465214,0.173125,0.186275
0.468865,0.019134,0.172625,0.426390
0.021939,0.468926,0.172125,0.203824
0.300637,-0.360661,0.171875,0.321031
0.385714,0.268059,0.171375,0.632028
0.447675,-0.143089,0.170625,0.432903
0.181749,0.433618,0.170125,0.288889
0.158919,-0.442591,0.169875,0.215662
0.454965,0.119663,0.169375,0.610384
0.371996,-0.288418,0.168625,0.431983
0.319957,0.345487,0.168125,0.456815
0.469119,-0.043735,0.167375,0.376484
0.084613,0.463674,0.166875,0.236106
0.250864,-0.399129,0.166625,0.275733
0.419689,0.215089,0.166125,0.721745
0.426288,-0.202310,0.165375,0.461371
0.238892,0.407120,0.164875,0.360647
0.098872,-0.461652,0.164625,0.200086
0.468701,0.058155,0.164125,0.504027
0.331510,-0.336764,0.163375,0.372862
0.364590,0.300909,0.162875,0.581133
0.460883,-0.106312,0.162125,0.427911
0.146251,0.449987,0.161625,0.272860
0.196156,-0.430675,0.161375,0.240388
0.446335,0.157810,0.160875,0.701324
0.397019,-0.258333,0.160125,0.470693
